LC	0	34
LE	0	31255
LEFT-ALIGNED	0	0
LEFT-TRIM	0	21
LENGTH	0	1042
LINE	0	0
LIST-EVENTS	0	0
LIST-ITEM-PAIRS	0	1528
LIST-ITEMS	0	949
LIST-PROPERTY-NAMES	0	0
LIST-QUERY-ATTRS	0	0
LIST-SET-ATTRS	0	0
LIST-WIDGETS	0	0
LITERAL-QUESTION	0	0
LOAD	0	2007
LOAD-DOMAINS	0	0
LOAD-ICON	0	12
LOAD-IMAGE	0	18
LOAD-IMAGE-DOWN	0	0
LOAD-IMAGE-INSENSITIVE	0	0
LOAD-IMAGE-UP	0	0
LOAD-MOUSE-POINTER	0	2
LOAD-PICTURE	0	0
LOAD-SMALL-ICON	0	0
LOCAL-NAME	0	0
LOCAL-VERSION-INFO	0	0
LOCATOR-COLUMN-NUMBER	0	0
LOCATOR-LINE-NUMBER	0	0
LOCATOR-PUBLIC-ID	0	0
LOCATOR-SYSTEM-ID	0	0
LOCATOR-TYPE	0	0
LOCK-REGISTRATION	0	0
LOG	0	2016
LOG-AUDIT-EVENT	0	0
LOGICAL	0	8471
LOGIN-EXPIRATION-TIMESTAMP	0	0
LOGIN-HOST	0	0
LOGIN-STATE	0	0
LOGOUT	0	0
LOOKAHEAD	0	0
LT	0	0
MANUAL-HIGHLIGHT	0	0
MARGIN-EXTRA	0	0
MARGIN-HEIGHT-CHARS	0	0
MARGIN-HEIGHT-PIXELS	0	0
MARGIN-WIDTH-CHARS	0	0
MARGIN-WIDTH-PIXELS	0	0
MARK-NEW	0	0
MARK-ROW-STATE	0	0
MATCHES	0	142
MAX	0	269
MAX-BUTTON	0	12
MAX-CHARS	0	39
MAX-DATA-GUESS	0	0
MAX-HEIGHT	0	676
MAX-HEIGHT-CHARS	0	0
MAX-HEIGHT-PIXELS	0	0
MAXIMIZE	0	0
MAXIMUM	0	131
MAXIMUM-LEVEL	0	0
MAX-ROWS	0	0
MAX-SIZE	0	0
MAX-VALUE	0	0
MAX-WIDTH	0	676
