CODEPAGE-CONVERT	Function	0	0
COL	Abbreviation	0	0
COL-OF	Option	0	0
COLLATE	Option	0	0
COLON	Option	1	0
COLON-ALIGN	Abbreviation	0	0
COLON-ALIGNED	Option	0	26
COLOR	Statement	1	2
COLOR-TABLE	Handle	0	0
COLUMN	Attribute	0	1
COLUMN-BGCOLOR	Attribute	0	1
COLUMN-DCOLOR	Attribute	0	0
COLUMN-FGCOLOR	Attribute	0	1
COLUMN-FONT	Attribute	0	1
COLUMN-LAB	Abbreviation	0	0
COLUMN-LABEL	Attribute	1	11
COLUMN-MOVABLE	Attribute	0	0
COLUMN-OF	Option	0	0
COLUMN-PFCOLOR	Attribute	0	0
COLUMN-READ-ONLY	Attribute	0	0
COLUMN-RESIZABLE	Attribute	0	1
COLUMN-SCROLLING	Attribute	0	0
COLUMNS	Option	1	1
COM	Attribute	0	0
COM-HANDLE	Type	0	1
COM-SELF	Handle	0	0
COMBO-BOX	Widget	0	5
COMMAND	Option	0	0
COMPARE	Function	0	0
COMPARES	Option	0	0
COMPILE	Statement	0	9
COMPILER	Handle	1	1
Complement	Method	0	0
COMPLETE	Attribute	0	1
Complete	Method	0	0
COMPONENT-HANDLE	Type	0	0
CONFIG-NAME	Attribute	0	0
CONNECT	Event	0	0
CONNECT	Statement	0	1
CONNECTED	Function	1	4
CONNECTED	Method	0	0
Connected	Property	0	0
CONSTRUCTOR	Statement	0	0
CONTAINS	Option	0	0
CONTENTS	Option	0	1
CONTEXT	Option	0	1
CONTEXT-HELP	Attribute	0	0
CONTEXT-HELP-FILE	Attribute	0	0
CONTEXT-HELP-ID	Attribute	0	0
CONTEXT-POPUP	Option	0	0
CONTROL	Option	1	6
CONTROL-BOX	Attribute	0	1
CONTROL-FRAME	Widget	0	1
CONVERT	Option	0	0
CONVERT-	Option	0	1
CONVERT-3D-COLORS	Attribute	0	0
CONVERT-TO-OFFS	Abbreviation	0	0
CONVERT-TO-OFFSET	Method	0	0
COPY-DATASET	Method	0	0
COPY-LOB	Statement	1	1
COPY-SAX-ATTRIBUTES	Method	0	0
COPY-TEMP-TABLE	Method	0	0
Count	Property	0	1
COUNT-OF	Function	1	0
COVERAGE	Attribute	0	0
CPCASE	Attribute	0	0
CPCOLL	Attribute	0	0
CPINTERNAL	Attribute	0	1
CPLOG	Attribute	0	0
CPPRINT	Attribute	0	0
CPRCODEIN	Attribute	0	0
CPRCODEOUT	Attribute	0	0
CPSTREAM	Attribute	0	0
CPTERM	Attribute	0	0
CRC-VALUE	Attribute	0	1
Create	Method	0	0
CREATE	Statement	1	45
CREATE-LIKE	Method	0	0
CREATE-LIKE-SEQUENTIAL	Method	0	0
CREATE-NODE	Method	0	0
CREATE-NODE-NAMESPACE	Method	0	0
CREATE-RESULT-LIST-ENTRY	Method	0	0
CREATE-TEST-FILE	Option	0	0
Created	Property	0	0
CreateRow	Event	0	0
Creator	Property	0	0
CURRENT	Option	1	2
CURRENT-CHANGED	Attribute	0	0
CURRENT-CHANGED	Function	1	1
CURRENT-COLUMN	Attribute	0	1
CURRENT-ENV	Abbreviation	0	0
CURRENT-ENVIRONMENT	Attribute	0	0
CURRENT-ITERATION	Attribute	0	0
CURRENT-LANG	Abbreviation	0	0
CURRENT-LANGUAGE	Function	0	0
CURRENT-LANGUAGE	Statement	1	0
CURRENT-QUERY	Method	0	0
CURRENT-REQUEST-INFO	Attribute	0	0
CURRENT-RESPONSE-INFO	Attribute	0	0
CURRENT-RESULT-ROW	Attribute	0	0
CURRENT-RESULT-ROW	Function	0	1
CURRENT-ROW-MODIFIED	Attribute	0	0
CURRENT-VALUE	Function	0	0
CURRENT-VALUE	Statement	0	1
CURRENT-WINDOW	Attribute	0	0
CURRENT-WINDOW	Handle	1	13
CURRENT_DATE	Option	0	0
CURS	Abbreviation	0	0
CURSOR	Option	1	1
CURSOR-CHAR	Attribute	0	1
CURSOR-LINE	Attribute	0	1
CURSOR-OFFSET	Attribute	0	1
Custom	Property	0	0
DATA-BIND	Option	0	0
DATA-ENTRY-RET	Abbreviation	0	0
DATA-ENTRY-RETURN	Attribute	0	0
DATA-REL	Abbreviation	0	0
DATA-RELATION	Option	1	1
DATA-SOURCE	Attribute	1	1
DATA-SOURCE-COMPLETE-MAP	Attribute	0	0
DATA-SOURCE-MODIFIED	Attribute	0	0
DATA-SOURCE-MODIFIED	Function	0	0
DATA-SOURCE-ROWID	Attribute	0	0
DATA-T	Abbreviation	0	0
DATA-TYPE	Attribute	0	1
DATABASE	Option	1	1
DATASERVERS	Function	1	0
DATASET	Attribute	1	1
DATASET-HANDLE	Option	1	0
DataTypeName	Property	0	0
DATE	Type	0	48
DATE-F	Abbreviation	0	0
DATE-FORMAT	Attribute	0	1
DATETIME	Type	0	0
DATETIME-TZ	Type	0	0
DAY	Function	0	2
DB-AWARE	Preprocessor	0	0
DB-CONTEXT	Attribute	0	0
DB-LIST	Attribute	0	0
DB-REFERENCES	Attribute	0	1
DB-REMOTE-HOST	Function	0	0
DBCODEPAGE	Function	1	0
DBCOLLATION	Function	1	0
DBNAME	Attribute	0	0
DBNAME	Function	1	1
DBPARAM	Function	1	1
DBREST	Abbreviation	0	0
DBRESTRICTIONS	Function	1	0
DbStatusId	Property	0	0
DBTASKID	Function	1	0
DBTYPE	Function	1	0
DBVERS	Abbreviation	0	0
DBVERSION	Function	1	0
DCOLOR	Attribute	0	0
DDE	Statement	1	1
DDE-ERROR	Attribute	0	0
DDE-I	Abbreviation	0	0
DDE-ID	Attribute	0	0
DDE-ITEM	Attribute	0	0
DDE-NAME	Attribute	0	0
DDE-TOPIC	Attribute	0	0
DEBLANK	Attribute	1	1
DEBU	Abbreviation	0	0
DEBUG	Method	0	0
DEBUG-ALERT	Attribute	0	0
DEBUG-LIST	Option	1	0
DEBUGGER	Handle	1	0
DEC	Abbreviation	0	0
DECIMAL	Type	0	24
DECIMALS	Attribute	1	1
DECLARE	Option	1	1
DECLARE-NAMESPACE	Method	0	0
DECRYPT	Function	0	1
DEF	Abbreviation	0	0
DEFAULT	Attribute	1	8
DEFAULT-ACTION	Event	0	0
DEFAULT-BUFFER-HANDLE	Attribute	0	1
DEFAULT-BUTTON	Attribute	0	4
DEFAULT-COMMIT	Attribute	0	0
DEFAULT-EX	Abbreviation	0	0
DEFAULT-EXTENSION	Option	0	1
DEFAULT-NOXL	Abbreviation	0	0
DEFAULT-NOXLATE	Option	1	0
DEFAULT-STRING	Attribute	0	0
DEFAULT-VALUE	Attribute	0	1
DEFAULT-WINDOW	Handle	1	0
DEFAUT-B	Abbreviation	0	0
DEFINE	Statement	1	259
DEFINE-USER-EVENT-MANAGER	Option	0	0
DEFINED	Preprocessor	0	40
DEL	Abbreviation	0	0
DELEGATE	Option	0	0
DELETE	Method	0	0
DELETE	Statement	1	17
DELETE-CHAR	Method	0	0
DELETE-CURRENT-ROW	Method	0	0
DELETE-HEADER-ENTRY	Method	0	0
DELETE-LINE	Method	0	0
DELETE-NODE	Method	0	0
DELETE-RESULT-LIST-ENTRY	Method	0	0
DELETE-SELECTED-ROW	Method	0	0
DELETE-SELECTED-ROWS	Method	0	0
DELIMITER	Attribute	1	2
DESC	Option	0	1
DESCENDING	Option	1	2
DESELECT-FOCUSED-ROW	Method	0	0
DESELECT-ROWS	Method	0	0
DESELECT-SELECTED-ROW	Method	0	0
DESTRUCTOR	Statement	0	0
DETACH-DATA-SOURCE	Method	0	0
DIALOG-BOX	Widget	0	1
DICT	Abbreviation	0	0
DICTIONARY	Statement	1	1
DIR	Option	0	1
DIRECTORY	Attribute	0	0
DISABLE	Method	0	0
DISABLE	Statement	1	13
DISABLE-AUTO-ZAP	Attribute	1	1
DISABLE-CONNECTIONS	Method	0	0
DISABLE-DUMP-TRIGGERS	Method	0	0
DISABLE-LOAD-TRIGGERS	Method	0	0
DISABLED	Option	0	1
DISCON	Abbreviation	0	0
DISCONNECT	Method	0	0
DISCONNECT	Statement	1	1
DISP	Option	1	1
DISPLAY	Statement	1	7
DISPLAY-MESSAGE	Method	0	0
DISPLAY-T	Abbreviation	0	0
DISPLAY-TIMEZONE	Attribute	0	0
DISPLAY-TYPE	Attribute	0	3
DISPLAYED-OBJECTS	Preprocessor	0	0
Dispose	Method	0	0
DISTINCT	Option	1	1
DO	Statement	1	261
DOMAIN-DESCRIPTION	Attribute	0	0
DOMAIN-NAME	Attribute	0	0
DOMAIN-TYPE	Attribute	0	0
DOS	Statement	1	1
DOWN	Attribute	0	0
DOWN	Statement	1	5
DRAG-ENABLED	Attribute	0	0
DROP	Option	1	0
DROP-DOWN	Option	0	0
DROP-DOWN-LIST	Option	0	3
DROP-FILE-NOTIFY	Option	0	1
DROP-TARGET	Attribute	0	1
ds-close-cursor	Option	0	0
DSLOG-MANAGER	Handle	0	0
DueDate	Property	0	0
DUMP	Option	0	2
DUMP-LOGGING-NOW	Method	0	0
DYNAMIC	Attribute	0	4
DYNAMIC-CAST	Function	0	0
DYNAMIC-CURRENT-VALUE	Function	0	0
DYNAMIC-CURRENT-VALUE	Statement	0	1
DYNAMIC-FUNCTION	Function	1	123
DYNAMIC-INVOKE	Function	1	0
DYNAMIC-NEW	Statement	0	0
DYNAMIC-NEXT-VALUE	Function	0	0
DYNAMIC-PROPERTY	Function	0	0
DYNAMIC-PROPERTY	Statement	0	0
EACH	Option	1	56
ECHO	Option	0	1
EDGE	Abbreviation	0	0
EDGE-CHARS	Attribute	0	0
EDGE-P	Abbreviation	0	0
EDGE-PIXELS	Attribute	0	12
EDIT-CAN-PASTE	Attribute	0	0
EDIT-CAN-UNDO	Attribute	0	0
EDIT-CLEAR	Method	0	0
EDIT-COPY	Method	0	0
EDIT-CUT	Method	0	0
EDIT-PASTE	Method	0	0
EDIT-UNDO	Method	0	0
EDITING	Option	1	0
EDITOR	Widget	0	1
ELSE	Function	0	0
ELSE	Option	1	99
ELSE	Statement	0	0
EmbeddedWindow	Property	0	0
EMPTY	Attribute	0	12
EMPTY-DATASET	Method	0	0
EMPTY-SELECTION	Event	0	0
EMPTY-TEMP-TABLE	Method	0	0
ENABLE	Method	0	0
ENABLE	Statement	1	8
ENABLE-CONNECTIONS	Method	0	0
ENABLE-EVENTS	Method	0	0
ENABLED	Attribute	0	0
ENABLED-FIELDS	Option	0	1
ENABLED-OBJECTS	Preprocessor	0	0
ENCODE	Function	1	0
ENCODING	Attribute	0	0
ENCRYPT	Function	0	1
ENCRYPT-AUDIT-MAC-KEY	Method	0	0
ENCRYPTION-SALT	Attribute	0	0
END	Statement	1	310
END-DOCUMENT	Method	0	0
END-ELEMENT	Method	0	0
END-ERROR	Event	0	0
END-EVENT-GROUP	Method	0	0
END-FILE-DROP	Method	0	0
END-KEY	Option	0	5
END-USER-PROMPT	Attribute	0	0
END_OF_ARRAY	Property	0	0
ENTERED	Function	0	0
ENTRY	Function	0	0
ENTRY	Method	0	0
ENTRY	Statement	1	21
ENTRY-TYPES-LIST	Attribute	0	0
EQ	Operator	0	0
Equals	Method	0	0
ERROR	Attribute	0	0
ERROR	Function	0	117
ERROR-COL	Abbreviation	0	0
ERROR-COLUMN	Attribute	0	0
ERROR-OBJECT-DETAIL	Attribute	0	0
ERROR-ROW	Attribute	0	0
ERROR-STACK-TRACE	Attribute	0	0
ERROR-STAT	Abbreviation	0	0
ERROR-STATUS	Handle	1	77
ERROR-STRING	Attribute	0	0
ESC	Keyboard	0	0
ESCAPE	Option	1	1
ETIME	Function	1	1
EVENT	Option	0	4
EVENT-GROUP-ID	Attribute	0	0
EVENT-PROCEDURE	Attribute	1	0
EVENT-PROCEDURE-CONTEXT	Attribute	0	0
EVENT-T	Abbreviation	0	0
EVENT-TYPE	Attribute	0	0
EVENTS	Option	0	1
EXCEPT	Option	1	2
EXCLUSIVE	Abbreviation	0	0
EXCLUSIVE-ID	Attribute	0	0
EXCLUSIVE-LOCK	Option	1	16
EXCLUSIVE-WEB-USER	Option	0	0
EXECUTE	Option	0	3
EXECUTION-LOG	Attribute	0	0
EXISTS	Option	1	1
EXP	Function	0	1
EXPAND	Attribute	0	0
EXPANDABLE	Attribute	0	2
EXPLICIT	Option	0	0
EXPORT	Method	0	0
EXPORT	Statement	1	5
EXPORT-PRINCIPAL	Method	0	0
EXTENDED	Option	0	1
EXTENT	Attribute	0	0
EXTENT	Function	0	0
EXTENT	Statement	0	3
EXTERNAL	Option	0	1
F1	Keyboard	0	0
F10	Keyboard	0	0
F11	Keyboard	0	0
F12	Keyboard	0	0
F2	Keyboard	0	0
F3	Keyboard	0	0
F4	Keyboard	0	0
F5	Keyboard	0	0
F6	Keyboard	0	0
F7	Keyboard	0	0
F8	Keyboard	0	0
F9	Keyboard	0	0
FALSE	Option	1	60
FETCH	Option	1	1
FETCH-SELECTED-ROW	Method	0	0
FGC	Abbreviation	0	0
FGCOLOR	Attribute	0	49
FIELD	Option	1	53
FIELD-GROUP	Widget	0	0
FieldIndex	Property	0	0
FieldName	Property	0	0
FIELDS	Option	1	10
FILE	Option	0	14
FILE-CREATE-DATE	Attribute	0	1
FILE-CREATE-TIME	Attribute	0	1
FILE-INFO	Handle	0	0
FILE-INFORMATION	Option	1	1
FILE-MOD-DATE	Attribute	0	1
FILE-MOD-TIME	Attribute	0	1
FILE-NAME	Attribute	0	2
FILE-OFF	Abbreviation	0	0
FILE-OFFSET	Attribute	0	0
FILE-SIZE	Attribute	0	1
